Condition,Original Index,Verb_Type,Verb,Target Object,TargetImage,Verb-noun Pair,Verb-NounAudio,Neutral-pred Pair,Neutral-PredAudio,Filler-pred Pair,Filler-PredAudio,Unrelated Foil A,FoilAImage,Unrelated Foil B,FoilBImage,Unrelated Foil C,FoilCImage,Speaker
intermediate,5,Predictive,win,trophy,trophy4.jpg,win_trophy,win_trophy_AAE.mp3,buy_trophy,buy_trophy.mp3,choose_santa,choose_santa.mp3,mail,mail4.jpg,santa,santa3.jpg,whisle,whisle3.jpg,AAE
optimal,48,Filler,find,footprint,footprint2.jpg,find_footprint,find_footprint_GAE.mp3,,,,,doll,doll3.jpg,cookies,cookies2.jpg,trophy,trophy3.jpg,GAE
intermediate,8,Predictive,read,book,book2.jpg,read_book,read_book_AAE.mp3,choose_book,choose_book.mp3,choose_horse,choose_horse.mp3,santa,santa4.jpg,ring,ring3.jpg,horse,horse3.jpg,AAE
suboptimal,36,Filler,choose,chair,chair3.jpg,choose_chair,choose_chair_AAE.mp3,,,,,brush,brush2.jpg,horn,horn2.jpg,bread,bread1.jpg,AAE
intermediate,44,Filler,find,doll,doll2.jpg,find_doll,find_doll_AAE.mp3,,,,,jewel,jewel1.jpg,juice,juice1.jpg,tree,tree3.jpg,AAE
optimal,15,Predictive,ride,bike,bike2.jpg,ride_bike,ride_bike_GAE.mp3,find_bike,find_bike.mp3,get_can,get_can.mp3,costume,costume4.jpg,can,can3.jpg,kite,kite3.jpg,GAE
optimal,37,Filler,buy,shirt,shirt1.jpg,buy_shirt,buy_shirt_GAE.mp3,,,,,horse ,horse 3.jpg,bread,bread2.jpg,couch,couch4.jpg,GAE
suboptimal,0,Predictive,blow,horn,horn4.jpg,blow_horn,blow_horn_AAE.mp3,choose_horn ,choose_horn .mp3,choose_chair,choose_chair.mp3,brush,brush4.jpg,chair,chair4.jpg,bread,bread3.jpg,AAE
suboptimal,44,Filler,find,doll,doll1.jpg,find_doll,find_doll_AAE.mp3,,,,,jewel,jewel3.jpg,juice,juice2.jpg,tree,tree2.jpg,AAE
intermediate,12,Predictive,bake,cookies,cookies3.jpg,bake_cookies,bake_cookies_AAE.mp3,choose_cookies,choose_cookies.mp3,find_footprint,find_footprint.mp3,doll,doll4.jpg,footprint,footprint4.jpg,trophy,trophy2.jpg,AAE
optimal,13,Predictive,drive,car,car2.jpg,drive_car,drive_car_GAE.mp3,buy_car,buy_car.mp3,choose_grapes,choose_grapes.mp3,bag,bag1.jpg,grapes,grapes4.jpg,dress,dress4.jpg,GAE
intermediate,38,Filler,find,bell,bell1.jpg,find_bell,find_bell_AAE.mp3,,,,,truck,truck4.jpg,book,book1.jpg,juice,juice3.jpg,AAE
optimal,39,Filler,find,dress,dress2.jpg,find_dress,find_dress_GAE.mp3,,,,,tractor,tractor4.jpg,milk,milk1.jpg,ball,ball1.jpg,GAE
suboptimal,9,Predictive,eat,sandwich,sandwich1.jpg,eat_sandwich,eat_sandwich_AAE.mp3,buy_sandwich,buy_sandwich.mp3,choose_scissors,choose_scissors.mp3,bush,bush1.jpg,jewel,jewel4.jpg,scissors,scissors2.jpg,AAE
optimal,11,Predictive,draw,picture,picture1.jpg,draw_picture,draw_picture_GAE.mp3,find_picture,find_picture.mp3,find_mittens,find_mittens.mp3,footprint,footprint3.jpg,cookies,cookies1.jpg,mittens,mittens1.jpg,GAE
optimal,4,Predictive,drink ,milk,milk4.jpg,drink _milk,drink _milk_GAE.mp3,find_milk,find_milk.mp3,find_dress,find_dress.mp3,tractor,tractor3.jpg,ball,ball2.jpg,dress,dress3.jpg,GAE
suboptimal,8,Predictive,read,book,book4.jpg,read_book,read_book_AAE.mp3,choose_book,choose_book.mp3,choose_horse,choose_horse.mp3,santa,santa2.jpg,ring,ring2.jpg,horse,horse2.jpg,AAE
optimal,12,Predictive,bake,cookies,cookies4.jpg,bake_cookies,bake_cookies_GAE.mp3,choose_cookies,choose_cookies.mp3,find_footprint,find_footprint.mp3,doll,doll1.jpg,footprint,footprint1.jpg,trophy,trophy1.jpg,GAE
optimal,28,NeutralFiller,hold,football,football3.jpg,hold_football,hold_football_GAE.mp3,,,,,pickle,pickle3.jpg,whistle,whistle1.jpg,costume,costume1.jpg,GAE
intermediate,14,Predictive,walk,dog,dog1.jpg,walk_dog,walk_dog_AAE.mp3,find_dog,find_dog.mp3,buy_truck,buy_truck.mp3,can,can4.jpg,milk,milk2.jpg,truck,truck1.jpg,AAE
suboptimal,40,Filler,buy,crayon,crayon2.jpg,buy_crayon,buy_crayon_AAE.mp3,,,,,couch,couch1.jpg,piano,piano1.jpg,tractor,tractor1.jpg,AAE
intermediate,3,Predictive,pour ,juice,juice4.jpg,pour _juice,pour _juice_AAE.mp3,find_juice,find_juice.mp3,find_bell,find_bell.mp3,truck,truck3.jpg,book,book3.jpg,bell,bell2.jpg,AAE
