Condition,Original Index,Verb_Type,Verb,Target Object,TargetImage,Verb-noun Pair,Verb-NounAudio,Neutral-pred Pair,Neutral-PredAudio,Filler-pred Pair,Filler-PredAudio,Unrelated Foil A,FoilAImage,Unrelated Foil B,FoilBImage,Unrelated Foil C,FoilCImage,Speaker
optimal,42,Filler,choose,scissors,scissors4.jpg,choose_scissors,choose_scissors_AAE.mp3,,,,,bush,bush4.jpg,sandwich,sandwich3.jpg,jewel,jewel4.jpg,AAE
optimal,5,Predictive,win,trophy,trophy3.jpg,win_trophy,win_trophy_AAE.mp3,buy_trophy,buy_trophy.mp3,choose_santa,choose_santa.mp3,mail,mail1.jpg,santa,santa1.jpg,whisle,whisle4.jpg,AAE
suboptimal,12,Predictive,bake,cookies,cookies4.jpg,bake_cookies,bake_cookies_GAE.mp3,choose_cookies,choose_cookies.mp3,find_footprint,find_footprint.mp3,doll,doll3.jpg,footprint,footprint4.jpg,trophy,trophy4.jpg,GAE
intermediate,41,Filler,choose,shoes,shoes4.jpg,choose_shoes,choose_shoes_GAE.mp3,,,,,peanut,peanut4.jpg,kite,kite1.jpg,bush,bush3.jpg,GAE
intermediate,37,Filler,buy,shirt,shirt1.jpg,buy_shirt,buy_shirt_GAE.mp3,,,,,horse ,horse 4.jpg,bread,bread4.jpg,couch,couch1.jpg,GAE
suboptimal,18,NeutralFiller,choose,horn,horn4.jpg,choose_horn,choose_horn_GAE.mp3,,,,,brush,brush4.jpg,chair,chair4.jpg,bread,bread1.jpg,GAE
intermediate,35,NeutralFiller,choose,cat,cat2.jpg,choose_cat,choose_cat_GAE.mp3,,,,,box,box3.jpg,plant,plant1.jpg,ball,ball3.jpg,GAE
optimal,7,Predictive,fly,kite,kite2.jpg,fly_kite,fly_kite_AAE.mp3,buy_kite,buy_kite.mp3,choose_shoes,choose_shoes.mp3,peanut,peanut3.jpg,bush,bush1.jpg,shoes,shoes1.jpg,AAE
suboptimal,3,Predictive,pour ,juice,juice1.jpg,pour _juice,pour _juice_GAE.mp3,find_juice,find_juice.mp3,find_bell,find_bell.mp3,truck,truck4.jpg,book,book4.jpg,bell,bell4.jpg,GAE
suboptimal,44,Filler,find,doll,doll2.jpg,find_doll,find_doll_GAE.mp3,,,,,jewel,jewel1.jpg,juice,juice2.jpg,tree,tree3.jpg,GAE
optimal,29,NeutralFiller,find ,picture,picture4.jpg,find _picture,find _picture_AAE.mp3,,,,,footprint,footprint3.jpg,cookies,cookies3.jpg,mittens,mittens2.jpg,AAE
optimal,33,NeutralFiller,find ,bike,bike1.jpg,find _bike,find _bike_AAE.mp3,,,,,costume,costume3.jpg,can,can1.jpg,kite,kite3.jpg,AAE
suboptimal,31,NeutralFiller,buy,car,car4.jpg,buy_car,buy_car_GAE.mp3,,,,,bag,bag3.jpg,grapes,grapes3.jpg,dress,dress1.jpg,GAE
optimal,11,Predictive,draw,picture,picture3.jpg,draw_picture,draw_picture_AAE.mp3,find_picture,find_picture.mp3,find_mittens,find_mittens.mp3,footprint,footprint2.jpg,cookies,cookies2.jpg,mittens,mittens4.jpg,AAE
intermediate,23,NeutralFiller,buy,trophy,trophy2.jpg,buy_trophy,buy_trophy_GAE.mp3,,,,,mail,mail2.jpg,santa,santa3.jpg,whistle,whistle2.jpg,GAE
suboptimal,10,Predictive,throw,football,football4.jpg,throw_football,throw_football_GAE.mp3,hold_football,hold_football.mp3,buy_whistle,buy_whistle.mp3,pickle,pickle1.jpg,whistle,whistle4.jpg,costume,costume2.jpg,GAE
intermediate,0,Predictive,blow,horn,horn2.jpg,blow_horn,blow_horn_GAE.mp3,choose_horn ,choose_horn .mp3,choose_chair,choose_chair.mp3,brush,brush3.jpg,chair,chair2.jpg,bread,bread2.jpg,GAE
optimal,52,Filler,find,mail,mail4.jpg,find_mail,find_mail_AAE.mp3,,,,,cart,cart2.jpg,cat,cat3.jpg,ball,ball1.jpg,AAE
intermediate,36,Filler,choose,chair,chair1.jpg,choose_chair,choose_chair_GAE.mp3,,,,,brush,brush1.jpg,horn,horn3.jpg,bread,bread3.jpg,GAE
suboptimal,52,Filler,find,mail,mail3.jpg,find_mail,find_mail_GAE.mp3,,,,,cart,cart4.jpg,cat,cat1.jpg,ball,ball2.jpg,GAE
optimal,41,Filler,choose,shoes,shoes3.jpg,choose_shoes,choose_shoes_AAE.mp3,,,,,peanut,peanut1.jpg,kite,kite4.jpg,bush,bush2.jpg,AAE
optimal,1,Predictive,toast,bread,bread2.jpg,toast_bread,toast_bread_AAE.mp3,buy_bread,buy_bread.mp3,buy_shirt,buy_shirt.mp3,horse ,horse 1.jpg,shirt,shirt3.jpg,couch,couch2.jpg,AAE
intermediate,3,Predictive,pour ,juice,juice4.jpg,pour _juice,pour _juice_GAE.mp3,find_juice,find_juice.mp3,find_bell,find_bell.mp3,truck,truck2.jpg,book,book2.jpg,bell,bell3.jpg,GAE
suboptimal,0,Predictive,blow,horn,horn1.jpg,blow_horn,blow_horn_GAE.mp3,choose_horn ,choose_horn .mp3,choose_chair,choose_chair.mp3,brush,brush2.jpg,chair,chair3.jpg,bread,bread4.jpg,GAE
intermediate,7,Predictive,fly,kite,kite3.jpg,fly_kite,fly_kite_GAE.mp3,buy_kite,buy_kite.mp3,choose_shoes,choose_shoes.mp3,peanut,peanut2.jpg,bush,bush4.jpg,shoes,shoes2.jpg,GAE
suboptimal,14,Predictive,walk,dog,dog4.jpg,walk_dog,walk_dog_GAE.mp3,find_dog,find_dog.mp3,buy_truck,buy_truck.mp3,can,can3.jpg,milk,milk3.jpg,truck,truck3.jpg,GAE
optimal,17,Predictive,pet,cat,cat4.jpg,pet_cat,pet_cat_AAE.mp3,choose_cat,choose_cat.mp3,buy_plant,buy_plant.mp3,box,box1.jpg,plant,plant3.jpg,ball,ball4.jpg,AAE
optimal,19,NeutralFiller,buy,bread,bread1.jpg,buy_bread,buy_bread_AAE.mp3,,,,,horse ,horse 3.jpg,shirt,shirt4.jpg,couch,couch4.jpg,AAE
suboptimal,8,Predictive,read,book,book3.jpg,read_book,read_book_GAE.mp3,choose_book,choose_book.mp3,choose_horse,choose_horse.mp3,santa,santa2.jpg,ring,ring3.jpg,horse,horse4.jpg,GAE
suboptimal,38,Filler,find,bell,bell1.jpg,find_bell,find_bell_GAE.mp3,,,,,truck,truck1.jpg,book,book1.jpg,juice,juice3.jpg,GAE
intermediate,52,Filler,find,mail,mail1.jpg,find_mail,find_mail_GAE.mp3,,,,,cart,cart1.jpg,cat,cat3.jpg,ball,ball2.jpg,GAE
intermediate,38,Filler,find,bell,bell2.jpg,find_bell,find_bell_GAE.mp3,,,,,truck,truck3.jpg,book,book4.jpg,juice,juice4.jpg,GAE
suboptimal,13,Predictive,drive,car,car2.jpg,drive_car,drive_car_GAE.mp3,buy_car,buy_car.mp3,choose_grapes,choose_grapes.mp3,bag,bag4.jpg,grapes,grapes1.jpg,dress,dress4.jpg,GAE
suboptimal,2,Predictive,climb,tree,tree2.jpg,climb_tree,climb_tree_GAE.mp3,touch_tree,touch_tree.mp3,buy_shirt,buy_shirt.mp3,jewel,jewel3.jpg,doll,doll1.jpg,juice,juice2.jpg,GAE
intermediate,1,Predictive,toast,bread,bread3.jpg,toast_bread,toast_bread_GAE.mp3,buy_bread,buy_bread.mp3,buy_shirt,buy_shirt.mp3,horse ,horse 2.jpg,shirt,shirt2.jpg,couch,couch3.jpg,GAE
optimal,6,Predictive,play,piano,piano1.jpg,play_piano,play_piano_AAE.mp3,buy_piano,buy_piano.mp3,buy_crayon,buy_crayon.mp3,couch,couch1.jpg,tractor,tractor4.jpg,crayon,crayon1.jpg,AAE
optimal,9,Predictive,eat,sandwich,sandwich1.jpg,eat_sandwich,eat_sandwich_AAE.mp3,buy_sandwich,buy_sandwich.mp3,choose_scissors,choose_scissors.mp3,bush,bush1.jpg,jewel,jewel2.jpg,scissors,scissors2.jpg,AAE
intermediate,50,Filler,buy,truck,truck2.jpg,buy_truck,buy_truck_GAE.mp3,,,,,can,can2.jpg,milk,milk4.jpg,dog,dog3.jpg,GAE
suboptimal,16,Predictive,kick,ball,ball4.jpg,kick_ball,kick_ball_GAE.mp3,buy_ball,buy_ball.mp3,find_mail,find_mail.mp3,cart,cart3.jpg,cat,cat2.jpg,mail,mail3.jpg,GAE
