Condition,Original Index,Verb_Type,Verb,Target Object,TargetImage,Verb-noun Pair,Verb-NounAudio,Neutral-pred Pair,Neutral-PredAudio,Filler-pred Pair,Filler-PredAudio,Unrelated Foil A,FoilAImage,Unrelated Foil B,FoilBImage,Unrelated Foil C,FoilCImage,Speaker
suboptimal,7,Predictive,fly,kite,kite4.jpg,fly_kite,fly_kite_GAE.mp3,buy_kite,buy_kite.mp3,choose_shoes,choose_shoes.mp3,peanut,peanut1.jpg,bush,bush1.jpg,shoes,shoes2.jpg,GAE
intermediate,39,Filler,find,dress,dress3.jpg,find_dress,find_dress_GAE.mp3,,,,,tractor,tractor4.jpg,milk,milk4.jpg,ball,ball4.jpg,GAE
optimal,13,Predictive,drive,car,car1.jpg,drive_car,drive_car_AAE.mp3,buy_car,buy_car.mp3,choose_grapes,choose_grapes.mp3,bag,bag1.jpg,grapes,grapes2.jpg,dress,dress1.jpg,AAE
intermediate,37,Filler,buy,shirt,shirt3.jpg,buy_shirt,buy_shirt_GAE.mp3,,,,,horse ,horse 3.jpg,bread,bread1.jpg,couch,couch4.jpg,GAE
intermediate,24,NeutralFiller,buy ,piano,piano4.jpg,buy _piano,buy _piano_GAE.mp3,,,,,couch,couch3.jpg,tractor,tractor2.jpg,crayon,crayon2.jpg,GAE
suboptimal,15,Predictive,ride,bike,bike1.jpg,ride_bike,ride_bike_GAE.mp3,find_bike,find_bike.mp3,get_can,get_can.mp3,costume,costume3.jpg,can,can2.jpg,kite,kite1.jpg,GAE
optimal,31,NeutralFiller,buy,car,car4.jpg,buy_car,buy_car_AAE.mp3,,,,,bag,bag2.jpg,grapes,grapes3.jpg,dress,dress4.jpg,AAE
optimal,11,Predictive,draw,picture,picture2.jpg,draw_picture,draw_picture_AAE.mp3,find_picture,find_picture.mp3,find_mittens,find_mittens.mp3,footprint,footprint2.jpg,cookies,cookies1.jpg,mittens,mittens4.jpg,AAE
intermediate,45,Filler,choose,santa,santa1.jpg,choose_santa,choose_santa_GAE.mp3,,,,,mail,mail3.jpg,whistle,whistle4.jpg,trophy,trophy4.jpg,GAE
intermediate,5,Predictive,win,trophy,trophy1.jpg,win_trophy,win_trophy_GAE.mp3,buy_trophy,buy_trophy.mp3,choose_santa,choose_santa.mp3,mail,mail1.jpg,santa,santa2.jpg,whisle,whisle1.jpg,GAE
