Condition,Original Index,Verb_Type,Verb,Target Object,TargetImage,Verb-noun Pair,Verb-NounAudio,Neutral-pred Pair,Neutral-PredAudio,Filler-pred Pair,Filler-PredAudio,Unrelated Foil A,FoilAImage,Unrelated Foil B,FoilBImage,Unrelated Foil C,FoilCImage,Speaker
suboptimal,17,Predictive,pet,cat,cat3.jpg,pet_cat,pet_cat_AAE.mp3,choose_cat,choose_cat.mp3,buy_plant,buy_plant.mp3,box,box3.jpg,plant,plant3.jpg,ball,ball3.jpg,AAE
suboptimal,40,Filler,buy,crayon,crayon2.jpg,buy_crayon,buy_crayon_AAE.mp3,,,,,couch,couch2.jpg,piano,piano2.jpg,tractor,tractor1.jpg,AAE
intermediate,12,Predictive,bake,cookies,cookies4.jpg,bake_cookies,bake_cookies_AAE.mp3,choose_cookies,choose_cookies.mp3,find_footprint,find_footprint.mp3,doll,doll4.jpg,footprint,footprint1.jpg,trophy,trophy2.jpg,AAE
suboptimal,10,Predictive,throw,football,football4.jpg,throw_football,throw_football_AAE.mp3,hold_football,hold_football.mp3,buy_whistle,buy_whistle.mp3,pickle,pickle2.jpg,whistle,whistle1.jpg,costume,costume2.jpg,AAE
optimal,49,Filler,choose,grapes,grapes4.jpg,choose_grapes,choose_grapes_GAE.mp3,,,,,bag,bag2.jpg,car,car2.jpg,dress,dress1.jpg,GAE
intermediate,38,Filler,find,bell,bell3.jpg,find_bell,find_bell_AAE.mp3,,,,,truck,truck1.jpg,book,book3.jpg,juice,juice3.jpg,AAE
optimal,9,Predictive,eat,sandwich,sandwich3.jpg,eat_sandwich,eat_sandwich_GAE.mp3,buy_sandwich,buy_sandwich.mp3,choose_scissors,choose_scissors.mp3,bush,bush2.jpg,jewel,jewel2.jpg,scissors,scissors3.jpg,GAE
intermediate,18,NeutralFiller,choose,horn,horn1.jpg,choose_horn,choose_horn_AAE.mp3,,,,,brush,brush4.jpg,chair,chair1.jpg,bread,bread1.jpg,AAE
optimal,52,Filler,find,mail,mail2.jpg,find_mail,find_mail_GAE.mp3,,,,,cart,cart2.jpg,cat,cat1.jpg,ball,ball4.jpg,GAE
suboptimal,3,Predictive,pour ,juice,juice2.jpg,pour _juice,pour _juice_AAE.mp3,find_juice,find_juice.mp3,find_bell,find_bell.mp3,truck,truck2.jpg,book,book4.jpg,bell,bell4.jpg,AAE
intermediate,52,Filler,find,mail,mail1.jpg,find_mail,find_mail_AAE.mp3,,,,,cart,cart4.jpg,cat,cat4.jpg,ball,ball2.jpg,AAE
optimal,5,Predictive,win,trophy,trophy1.jpg,win_trophy,win_trophy_GAE.mp3,buy_trophy,buy_trophy.mp3,choose_santa,choose_santa.mp3,mail,mail4.jpg,santa,santa2.jpg,whisle,whisle1.jpg,GAE
intermediate,3,Predictive,pour ,juice,juice1.jpg,pour _juice,pour _juice_AAE.mp3,find_juice,find_juice.mp3,find_bell,find_bell.mp3,truck,truck4.jpg,book,book1.jpg,bell,bell2.jpg,AAE
intermediate,7,Predictive,fly,kite,kite2.jpg,fly_kite,fly_kite_AAE.mp3,buy_kite,buy_kite.mp3,choose_shoes,choose_shoes.mp3,peanut,peanut2.jpg,bush,bush1.jpg,shoes,shoes2.jpg,AAE
optimal,13,Predictive,drive,car,car1.jpg,drive_car,drive_car_GAE.mp3,buy_car,buy_car.mp3,choose_grapes,choose_grapes.mp3,bag,bag4.jpg,grapes,grapes1.jpg,dress,dress2.jpg,GAE
suboptimal,21,NeutralFiller,find,juice,juice4.jpg,find_juice,find_juice_AAE.mp3,,,,,truck,truck3.jpg,book,book2.jpg,bell,bell1.jpg,AAE
optimal,27,NeutralFiller,buy,sandwich,sandwich1.jpg,buy_sandwich,buy_sandwich_GAE.mp3,,,,,bush,bush4.jpg,jewel,jewel4.jpg,scissors,scissors2.jpg,GAE
suboptimal,16,Predictive,kick,ball,ball1.jpg,kick_ball,kick_ball_AAE.mp3,buy_ball,buy_ball.mp3,find_mail,find_mail.mp3,cart,cart1.jpg,cat,cat2.jpg,mail,mail3.jpg,AAE
