Condition,Original Index,Verb_Type,Verb,Target Object,TargetImage,Verb-noun Pair,Verb-NounAudio,Neutral-pred Pair,Neutral-PredAudio,Filler-pred Pair,Filler-PredAudio,Unrelated Foil A,FoilAImage,Unrelated Foil B,FoilBImage,Unrelated Foil C,FoilCImage,Speaker
intermediate,46,Filler,choose,horse,horse2.jpg,choose_horse,choose_horse_GAE.mp3,,,,,santa,santa2.jpg,ring,ring3.jpg,book,book1.jpg,GAE
suboptimal,42,Filler,choose,scissors,scissors1.jpg,choose_scissors,choose_scissors_GAE.mp3,,,,,bush,bush4.jpg,sandwich,sandwich4.jpg,jewel,jewel3.jpg,GAE
suboptimal,37,Filler,buy,shirt,shirt1.jpg,buy_shirt,buy_shirt_GAE.mp3,,,,,horse ,horse 1.jpg,bread,bread2.jpg,couch,couch4.jpg,GAE
intermediate,48,Filler,find,footprint,footprint3.jpg,find_footprint,find_footprint_GAE.mp3,,,,,doll,doll3.jpg,cookies,cookies4.jpg,trophy,trophy2.jpg,GAE
intermediate,27,NeutralFiller,buy,sandwich,sandwich2.jpg,buy_sandwich,buy_sandwich_GAE.mp3,,,,,bush,bush2.jpg,jewel,jewel4.jpg,scissors,scissors2.jpg,GAE
suboptimal,52,Filler,find,mail,mail2.jpg,find_mail,find_mail_GAE.mp3,,,,,cart,cart1.jpg,cat,cat2.jpg,ball,ball3.jpg,GAE
intermediate,6,Predictive,play,piano,piano2.jpg,play_piano,play_piano_GAE.mp3,buy_piano,buy_piano.mp3,buy_crayon,buy_crayon.mp3,couch,couch1.jpg,tractor,tractor4.jpg,crayon,crayon4.jpg,GAE
intermediate,47,Filler,buy,whistle,whistle2.jpg,buy_whistle,buy_whistle_GAE.mp3,,,,,pickle,pickle2.jpg,footprint,footprint4.jpg,costume,costume4.jpg,GAE
suboptimal,15,Predictive,ride,bike,bike3.jpg,ride_bike,ride_bike_GAE.mp3,find_bike,find_bike.mp3,get_can,get_can.mp3,costume,costume2.jpg,can,can1.jpg,kite,kite4.jpg,GAE
optimal,0,Predictive,blow,horn,horn1.jpg,blow_horn,blow_horn_AAE.mp3,choose_horn ,choose_horn .mp3,choose_chair,choose_chair.mp3,brush,brush4.jpg,chair,chair3.jpg,bread,bread4.jpg,AAE
optimal,12,Predictive,bake,cookies,cookies2.jpg,bake_cookies,bake_cookies_AAE.mp3,choose_cookies,choose_cookies.mp3,find_footprint,find_footprint.mp3,doll,doll4.jpg,footprint,footprint2.jpg,trophy,trophy1.jpg,AAE
suboptimal,1,Predictive,toast,bread,bread3.jpg,toast_bread,toast_bread_GAE.mp3,buy_bread,buy_bread.mp3,buy_shirt,buy_shirt.mp3,horse ,horse 3.jpg,shirt,shirt4.jpg,couch,couch3.jpg,GAE
intermediate,23,NeutralFiller,buy,trophy,trophy3.jpg,buy_trophy,buy_trophy_GAE.mp3,,,,,mail,mail1.jpg,santa,santa3.jpg,whistle,whistle3.jpg,GAE
suboptimal,13,Predictive,drive,car,car4.jpg,drive_car,drive_car_GAE.mp3,buy_car,buy_car.mp3,choose_grapes,choose_grapes.mp3,bag,bag2.jpg,grapes,grapes2.jpg,dress,dress2.jpg,GAE
optimal,48,Filler,find,footprint,footprint1.jpg,find_footprint,find_footprint_AAE.mp3,,,,,doll,doll1.jpg,cookies,cookies3.jpg,trophy,trophy4.jpg,AAE
